temp,KR,number
19.7,137,149
20.7,118,149
19.6,140,149
19.1,145,149
19.3,143,149
19.4,143,149
20.7,139,150
20.5,139,150
20.6,139,150
20.1,137,150
20.3,137,150
20.2,137,150
20.8,140,150
19.2,136,150
20.9,141,150
19.5,138,150
20.0,136,150
19.4,137,150
19.3,135,150
19.6,137,150
19.9,137,150
19.8,136,150
19.7,135,150
19.1,135,150
20.4,139,150
20.1,93,152
19.9,91,152
19.8,88,152
19.1,84,152
19.2,82,152
19.6,83,152
20.0,94,152
20.4,97,152
20.3,95,152
20.2,94,152
20.5,98,152
20.8,101,152
20.7,100,152
20.6,100,152
20.9,102,152
19.3,82,152
19.7,85,152
19.5,82,152
19.4,81,152
19.1,145,153
19.2,147,153
19.3,145,153
19.4,148,153
19.5,146,153
20.3,145,153
20.5,143,153
19.8,148,153
20.6,143,153
20.7,137,153
20.8,138,153
20.4,145,153
20.9,142,153
20.0,149,153
20.1,147,153
19.6,146,153
19.9,147,153
19.7,146,153
20.2,148,153
20.1,18,154
20.2,19,154
20.9,29,154
20.8,30,154
20.7,28,154
20.6,25,154
20.5,25,154
20.4,20,154
20.3,20,154
19.7,17,154
20.0,20,154
19.8,18,154
19.9,20,154
19.3,15,154
19.4,14,154
19.5,14,154
19.6,14,154
19.2,12,154
19.1,12,154
20.4,81,156
20.6,80,156
20.1,80,156
20.0,82,156
20.3,80,156
20.2,79,156
19.9,82,156
19.8,83,156
19.7,84,156
19.6,84,156
19.5,81,156
19.4,80,156
19.3,79,156
19.2,79,156
19.1,79,156
20.7,82,156
20.9,82,156
20.8,82,156
20.5,82,156
20.0,131,157
19.8,132,157
19.9,131,157
19.6,127,157
20.3,134,157
20.2,134,157
19.7,130,157
19.3,126,157
19.4,127,157
19.5,126,157
19.1,123,157
19.2,125,157
20.9,135,157
20.7,135,157
20.8,136,157
20.5,135,157
20.6,134,157
20.4,134,157
20.1,132,157
19.8,65,159
19.7,64,159
19.9,66,159
19.5,63,159
19.1,58,159
19.2,58,159
19.3,60,159
19.4,61,159
19.6,63,159
20.8,77,159
20.7,75,159
20.6,73,159
20.9,76,159
20.3,71,159
20.4,72,159
20.1,69,159
20.2,69,159
20.5,73,159
20.0,67,159
19.7,79,160
19.4,77,160
19.3,75,160
19.2,74,160
19.1,74,160
19.6,78,160
20.7,91,160
20.8,90,160
20.9,92,160
20.4,87,160
20.5,87,160
20.3,84,160
20.6,88,160
19.9,82,160
20.0,82,160
20.1,83,160
20.2,85,160
19.8,80,160
19.5,75,160
19.3,127,164
19.4,127,164
19.1,126,164
20.9,126,164
20.8,123,164
19.2,127,164
20.3,124,164
20.6,124,164
20.5,124,164
20.4,125,164
20.1,127,164
20.2,126,164
20.0,128,164
20.7,123,164
19.9,126,164
19.7,125,164
19.8,127,164
19.5,127,164
19.6,128,164
20.9,38,165
20.8,38,165
20.0,42,165
20.5,39,165
20.6,38,165
20.7,38,165
19.2,50,165
20.1,41,165
20.2,40,165
20.3,40,165
20.4,39,165
19.7,43,165
19.8,43,165
19.9,42,165
19.1,56,165
19.3,50,165
19.4,48,165
19.5,45,165
19.6,44,165
20.2,61,166
20.3,60,166
20.4,57,166
19.7,68,166
19.8,63,166
19.9,63,166
20.0,67,166
20.1,63,166
19.4,70,166
19.5,67,166
19.6,68,166
19.1,69,166
19.3,68,166
19.2,69,166
20.7,57,166
20.8,55,166
20.6,58,166
20.5,59,166
20.9,52,166
20.5,37,169
20.3,39,169
20.2,40,169
19.2,44,169
19.1,45,169
19.9,42,169
20.0,41,169
20.1,41,169
20.4,38,169
20.6,38,169
20.7,40,169
20.9,42,169
20.8,41,169
19.8,42,169
19.7,42,169
19.6,43,169
19.5,43,169
19.4,44,169
19.3,42,169
20.8,34,172
20.9,31,172
19.1,28,172
19.9,31,172
20.3,37,172
20.2,35,172
20.1,33,172
20.0,32,172
20.7,35,172
20.6,35,172
20.5,36,172
20.4,37,172
19.5,30,172
19.8,30,172
19.2,28,172
19.6,30,172
19.3,28,172
19.7,31,172
19.4,30,172
19.6,104,173
20.6,107,173
19.5,102,173
20.5,108,173
19.7,104,173
20.4,107,173
20.7,109,173
20.9,109,173
20.8,110,173
19.2,103,173
19.3,101,173
19.4,103,173
19.1,101,173
20.0,104,173
20.3,106,173
20.2,106,173
20.1,105,173
19.8,103,173
19.9,103,173
20.8,86,175
19.2,84,175
19.3,83,175
20.7,85,175
20.6,87,175
20.5,85,175
20.3,84,175
20.4,84,175
20.2,85,175
19.4,84,175
20.9,87,175
20.1,85,175
19.9,84,175
19.8,83,175
19.7,85,175
19.6,83,175
19.5,84,175
19.1,82,175
20.0,84,175
20.5,35,176
20.3,35,176
20.4,35,176
20.0,32,176
20.1,34,176
19.9,32,176
20.2,34,176
20.6,36,176
20.9,36,176
20.8,35,176
20.7,35,176
19.8,31,176
19.3,32,176
19.2,32,176
19.1,33,176
19.4,32,176
19.7,32,176
19.6,33,176
19.5,32,176
20.2,124,180
19.7,119,180
19.6,119,180
19.8,121,180
20.3,124,180
19.5,118,180
20.9,129,180
20.8,128,180
20.7,126,180
20.6,127,180
20.5,126,180
20.4,126,180
19.1,116,180
20.1,124,180
20.0,123,180
19.9,123,180
19.3,116,180
19.4,117,180
19.2,116,180
19.9,27,182
20.8,27,182
20.7,27,182
20.6,28,182
20.5,27,182
20.4,27,182
20.3,27,182
19.1,26,182
19.2,26,182
20.0,26,182
20.1,27,182
20.2,26,182
19.8,27,182
19.4,26,182
19.5,27,182
19.3,26,182
19.6,26,182
19.7,25,182
20.9,27,182
19.6,16,184
20.8,18,184
20.7,17,184
20.9,19,184
19.9,16,184
20.2,17,184
19.8,15,184
19.7,14,184
20.6,18,184
19.5,16,184
19.1,21,184
19.2,20,184
19.4,19,184
19.3,19,184
20.4,17,184
20.3,17,184
20.0,17,184
20.1,17,184
20.5,17,184
20.8,58,185
20.9,57,185
19.3,85,185
19.2,88,185
19.1,88,185
20.7,60,185
20.6,63,185
20.4,64,185
20.5,64,185
20.3,65,185
19.4,79,185
20.2,67,185
20.1,67,185
20.0,69,185
19.9,69,185
19.8,70,185
19.7,71,185
19.6,72,185
19.5,76,185
19.1,29,188
20.6,42,188
20.4,44,188
20.5,45,188
20.1,42,188
20.2,43,188
20.0,38,188
20.3,47,188
20.8,40,188
20.9,40,188
19.4,27,188
19.5,26,188
19.6,29,188
19.7,31,188
19.8,32,188
19.2,28,188
20.7,41,188
19.3,26,188
19.9,35,188
20.1,135,189
19.8,132,189
19.9,132,189
19.7,133,189
20.0,132,189
20.3,132,189
20.2,133,189
20.8,133,189
20.9,131,189
20.5,131,189
20.4,133,189
20.6,133,189
20.7,133,189
19.6,132,189
19.5,131,189
19.4,131,189
19.3,129,189
19.1,131,189
19.2,131,189
20.7,62,191
20.8,58,191
20.9,56,191
19.1,89,191
19.8,75,191
19.7,76,191
19.6,78,191
19.5,79,191
19.9,74,191
20.0,71,191
20.1,71,191
20.2,68,191
20.6,63,191
20.5,64,191
20.4,66,191
20.3,65,191
19.4,83,191
19.3,83,191
19.2,84,191
20.3,135,192
20.0,134,192
19.9,136,192
20.2,136,192
20.1,136,192
19.6,135,192
19.5,136,192
19.4,136,192
19.3,135,192
19.2,135,192
19.1,135,192
19.8,134,192
19.7,134,192
20.4,136,192
20.7,136,192
20.6,136,192
20.9,136,192
20.8,135,192
20.5,133,192
20.8,114,193
20.9,115,193
20.1,116,193
19.2,116,193
19.1,116,193
19.8,116,193
19.7,115,193
19.6,117,193
19.5,115,193
19.4,116,193
20.2,115,193
20.3,115,193
20.4,115,193
20.5,115,193
20.6,115,193
20.7,114,193
19.9,115,193
20.0,116,193
19.3,116,193
19.1,88,195
19.3,89,195
19.2,89,195
19.5,90,195
19.6,91,195
19.7,91,195
19.4,90,195
19.8,93,195
20.5,98,195
20.4,97,195
20.3,96,195
20.2,94,195
