CV_MC,rCV_MAD_MC,avg_MC,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,CV_CQ,rCV_MAD_CQ,avg_CQ,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,CV_NRMSE
0.041117625,0.027029623,3.857107597,3.857107597,3.911599964,0.158595104,0.025152407,0.702779057,0.097017748,0.127810345,57.47368421,57.47368421,58,5.575967427,31.09141274,18,0.191777129
0.026546944,0.034180143,5.252365682,5.252365682,5.258085072,0.139434259,0.019441913,0.464523545,0.047701552,0.061775,72.36842105,72.36842105,72,3.452085965,11.91689751,12,0.634436762
0.127474955,0.167903574,3.475237271,3.475237271,3.504465285,0.443005714,0.196254063,1.41733699,0.313546597,0.29652,18.63157895,18.63157895,20,5.841868179,34.12742382,18,0.036803816
0.01680687,0.01985278,3.796998375,3.796998375,3.811592238,0.063815657,0.004072438,0.200185933,0.025489287,0.038015385,116.8421053,116.8421053,117,2.978221969,8.869806094,9,0.01117593
0.083063162,0.100448561,4.627748491,4.627748491,4.64535109,0.384395421,0.14775984,1.199757924,0.123160547,0.0926625,15.63157895,15.63157895,16,1.925193806,3.706371191,6,0.194665048
0.032939193,0.042247467,4.709595247,4.709595247,4.727719598,0.155130268,0.0240654,0.463359063,0.045537414,0.069496875,63.47368421,63.47368421,64,2.890427414,8.354570637,10,0.426682183
0.038333759,0.036541183,4.722465943,4.722465943,4.788863248,0.181029871,0.032771814,0.633518167,0.060357164,0.07413,19.26315789,19.26315789,20,1.162669581,1.351800554,5,0.362042404
0.014859512,0.013268837,3.213360697,3.213360697,3.214266175,0.047748973,0.002279964,0.220015591,0.013001215,0.011766667,126.2105263,126.2105263,126,1.640890239,2.692520776,8,0.028627722
0.020189244,0.022289415,2.938679961,2.938679961,2.945030986,0.059329726,0.003520016,0.210885502,0.043866788,0.05594717,52.73684211,52.73684211,53,2.313395892,5.351800554,9,0.305101774
0.060878547,0.08753462,4.67203608,4.67203608,4.710593812,0.284426769,0.080898587,0.84270447,1.033640005,1.4826,2.157894737,2.157894737,2,2.230486326,4.975069252,8,0.312330005
0.022444649,0.032297775,4.152404102,4.152404102,4.135444591,0.093199252,0.008686101,0.326129876,0.016683696,0.013478182,110.3684211,110.3684211,110,1.84135323,3.390581717,7,0.055906572
0.047898649,0.072567535,4.92984019,4.92984019,4.903434834,0.236132686,0.055758646,0.716426287,0.129728216,0.177912,48.78947368,48.78947368,50,6.329371361,40.06094183,18,0.495996486
0.133259231,0.197708856,3.613414121,3.613414121,3.660376526,0.481520788,0.231862269,1.62850859,0.849578669,1.11195,12.31578947,12.31578947,12,10.46323202,109.4792244,32,0.032640673
0.017323414,0.016559676,4.897874847,4.897874847,4.93994902,0.084847912,0.007199168,0.302662112,0.062899116,0.086365049,103.6842105,103.6842105,103,6.521645188,42.53185596,20,0.01570664
0.012215033,0.004876906,4.279990551,4.279990551,4.300835753,0.052280225,0.002733222,0.17539159,0.042564431,0.0555975,80.42105263,80.42105263,80,3.423076325,11.71745152,11,0.187999616
2.930481611,,0.030641173,0.030641173,0,0.089793393,0.008062853,0.319063081,-0.889859793,-0.4942,-3.631578947,-3.631578947,-3,3.231596091,10.4432133,12,0.1111055
0.021206828,0.032894301,3.091402756,3.091402756,3.099879733,0.065558847,0.004297962,0.207911147,0.023806434,0.02118,69.84210526,69.84210526,70,1.662691474,2.764542936,6,0.004391981
