temp,GR,number
20.0,28,143
20.9,31,143
19.8,26,143
19.6,26,143
19.3,25,143
20.8,31,143
19.7,26,143
19.9,27,143
20.3,33,143
19.5,26,143
19.4,25,143
19.1,26,143
19.2,25,143
20.7,30,143
20.5,2,144
20.3,2,144
20.2,2,144
20.0,2,144
19.9,2,144
19.8,2,144
20.1,2,144
19.5,2,144
19.6,2,144
19.4,2,144
20.4,2,144
20.9,2,144
20.6,2,144
20.7,2,144
20.8,2,144
19.7,2,144
19.1,2,144
19.2,2,144
19.3,2,144
19.3,4,148
19.5,4,148
19.6,3,148
20.2,3,148
19.8,3,148
20.8,3,148
20.9,2,148
19.4,4,148
20.5,3,148
19.2,4,148
19.1,4,148
20.7,3,148
20.3,3,148
19.9,3,148
20.0,3,148
20.1,3,148
20.6,3,148
19.7,3,148
20.4,2,148
20.6,103,149
19.9,111,149
20.0,109,149
20.9,101,149
20.8,101,149
20.2,106,149
20.5,105,149
20.4,105,149
20.3,107,149
19.5,121,149
19.2,121,149
20.1,108,149
19.8,113,149
19.7,116,149
20.7,102,149
19.6,117,149
19.1,120,149
19.3,120,149
19.4,120,149
20.7,46,150
20.5,47,150
20.6,48,150
20.1,59,150
20.3,59,150
20.2,60,150
20.8,45,150
19.2,38,150
20.9,49,150
19.5,48,150
20.0,56,150
19.4,47,150
19.3,44,150
19.6,44,150
19.9,48,150
19.8,45,150
19.7,41,150
19.1,38,150
20.4,55,150
20.1,62,152
19.9,59,152
19.8,58,152
19.1,52,152
19.2,52,152
19.6,52,152
20.0,62,152
20.4,64,152
20.3,64,152
20.2,62,152
20.5,67,152
20.8,70,152
20.7,70,152
20.6,70,152
20.9,71,152
19.3,52,152
19.7,56,152
19.5,52,152
19.4,50,152
19.1,7,153
19.2,8,153
19.3,6,153
19.4,7,153
19.5,5,153
20.3,9,153
20.5,11,153
19.8,6,153
20.6,8,153
20.7,7,153
20.8,6,153
20.4,9,153
20.9,7,153
20.0,6,153
20.1,8,153
19.6,6,153
19.9,6,153
19.7,5,153
20.2,11,153
20.1,2,154
20.2,2,154
20.9,2,154
20.8,2,154
20.7,2,154
20.6,2,154
20.5,2,154
20.4,2,154
20.3,2,154
19.7,2,154
20.0,2,154
19.8,2,154
19.9,2,154
19.3,2,154
