temp,MC,number
20.9,0.8950027370798028,23
20.2,0.9366714179517426,23
20.3,1.325337134119266,23
19.5,1.9017917162089304,25
19.6,1.8584402360325256,25
19.7,1.825333527767409,25
19.8,1.8266950367762569,25
19.9,1.799211308768336,25
20.2,1.7024303950299011,25
20.0,1.7736800882510346,25
20.1,1.7354850966402453,25
19.3,1.869521165342828,25
19.4,1.8754925018394115,25
19.1,1.9191941973382216,25
19.2,1.8905726272455907,25
20.3,1.7444640315573152,25
20.6,1.660615811077774,25
20.9,1.410600956908595,25
20.8,1.535342758648316,25
20.7,1.6573718291570598,25
20.4,1.6911214966560748,25
20.5,1.6747633856927762,25
19.7,4.676208348137754,30
19.8,4.726054809362237,30
20.7,4.915232538229603,30
20.6,4.889956293636764,30
19.5,4.629906513030091,30
20.8,4.928049749555472,30
20.5,4.856692511877824,30
19.1,4.694653679739593,30
20.9,4.942244827067234,30
19.4,4.709747897524615,30
19.2,4.71162851022271,30
19.6,4.678281596296762,30
19.3,4.714726089705928,30
19.9,4.679847899615112,30
20.0,4.662350498561427,30
20.4,4.775510009853738,30
20.3,4.776407576326826,30
20.1,4.759657520082039,30
20.2,4.789426235176688,30
20.2,4.366060713399096,31
19.9,4.051636055019338,31
20.4,4.316881732838569,31
20.5,4.458894535815913,31
19.3,4.330039396954355,31
19.2,4.407928155387111,31
19.1,4.484758790595999,31
19.8,3.9672032956855983,31
19.7,4.0249793750691945,31
19.6,4.209907400003313,31
20.6,4.390021863318446,31
20.8,4.335293139240751,31
20.1,4.328271268481623,31
19.5,4.22760435942356,31
20.0,4.27906050227857,31
20.9,4.397438386262775,31
20.3,4.41619047990171,31
20.7,4.474702305000463,31
19.4,4.265983489284276,31
20.2,1.6527369018673264,33
19.2,2.382059649551697,33
20.3,1.6296738565507627,33
20.0,1.760215757815805,33
19.3,2.0918189762392085,33
19.1,2.607115912097126,33
19.4,2.209371783076888,33
20.6,1.413880804020165,33
20.7,1.1341069259556655,33
20.8,1.182236204812213,33
20.9,1.2512550840922878,33
20.1,1.7010382791537304,33
20.4,1.5955149809155096,33
19.9,1.7790214612059725,33
20.5,1.4885529720480697,33
19.5,2.1039375798465767,33
19.6,1.8887463919924063,33
19.7,1.8931456103034416,33
19.8,1.881356564353193,33
20.6,2.1016015248201785,36
20.2,2.43140379433778,36
20.0,2.18621032500204,36
19.1,2.4015766205642834,36
20.3,2.3142837545548653,36
20.4,2.139704890033046,36
20.7,2.2293510591213224,36
20.5,2.1385472960007776,36
19.9,2.160333601110628,36
19.6,2.1772222833129566,36
19.7,2.288609778343375,36
19.8,2.224429070591749,36
20.9,2.388263756604953,36
20.1,2.4672060061983485,36
19.4,2.185940583519476,36
20.8,2.3890542332458917,36
19.2,2.238623747658657,36
19.5,2.202198382179592,36
19.3,2.2090892066865258,36
19.7,4.492578663654938,37
20.8,4.453168334066792,37
19.3,4.415444017982594,37
19.4,4.42515193412445,37
19.5,4.464823591270018,37
19.6,4.4075518007385535,37
19.9,4.39132307167915,37
20.4,4.423137162588788,37
19.8,4.488818709108564,37
20.5,4.4273522964922245,37
20.6,4.418121477951674,37
20.7,4.455104530821854,37
20.9,4.41174813732677,37
20.3,4.399242704376693,37
19.2,4.431289803716321,37
19.1,4.471437793489233,37
20.0,4.398143466350376,37
20.2,4.445492580979199,37
20.1,4.445019277671716,37
19.3,2.7404895357826238,44
20.9,2.5085476579420067,44
20.5,2.4579100869033663,44
20.3,2.393116101538599,44
19.1,2.8328791622323872,44
19.2,2.8099932921084525,44
19.5,2.667323868430834,44
19.7,2.522301295743346,44
19.6,2.615790753186877,44
19.8,2.4981129824302606,44
19.4,2.676036733119889,44
20.6,2.522297395756204,44
20.8,2.4654398467907503,44
20.7,2.464451919633974,44
20.1,2.393107187122969,44
20.0,2.45720969834621,44
20.4,2.4489158459721008,44
19.9,2.464151427257564,44
20.2,2.417513209136797,44
20.1,2.765383601265922,52
19.6,2.8640867481512657,52
19.7,2.8591910626667367,52
19.4,2.8990193226498056,52
20.5,2.506947693016888,52
20.4,2.6072573698412143,52
19.3,2.903927778113067,52
19.2,2.9027133229577555,52
19.1,2.90734089939921,52
20.3,2.598332160411163,52
20.2,2.6892267952007547,52
20.6,2.539567410782801,52
20.9,2.422807238025002,52
19.5,2.889331002239424,52
19.9,2.7972009675513148,52
19.8,2.816875908414536,52
20.0,2.785343477210108,52
20.8,2.436156133683633,52
20.7,2.49095860856693,52
19.8,3.501499217426065,65
19.9,3.5163554501103214,65
20.0,3.5403147571121263,65
20.1,3.532697723372599,65
20.3,3.429038718832846,65
20.2,3.475555357329795,65
20.4,3.379943986065737,65
20.5,3.36601896528769,65
19.4,3.4787296559857044,65
19.5,3.499767839112109,65
19.6,3.52052178497995,65
19.7,3.498270667858578,65
20.6,3.35388772788216,65
20.9,3.229433968952932,65
20.7,3.287933389046236,65
20.8,3.2545799234033312,65
19.3,3.451526005076304,65
19.1,3.416546650233246,65
19.2,3.443338173797707,65
20.7,3.631910306837227,67
20.5,3.65694821471869,67
20.8,3.623777371658262,67
20.0,3.7735585528343374,67
19.9,3.846435109668207,67
20.3,3.738254058732189,67
19.4,3.8970268978548193,67
20.9,3.536355442676486,67
19.3,3.903135656681121,67
19.1,3.868936936435448,67
20.4,3.745611360513832,67
19.8,3.7885270164233833,67
19.2,3.885287465373071,67
19.5,3.932141647820505,67
19.6,3.91212460103361,67
20.1,3.778418291466276,67
20.6,3.662756858365393,67
19.7,3.784791961153653,67
20.2,3.813379800089456,67
19.3,4.304047501029958,71
19.2,4.316986946618249,71
19.7,3.932948442902126,71
19.4,4.230659618323347,71
19.6,4.059116750132738,71
20.9,3.2258481270861004,71
20.8,3.3679869709127552,71
19.8,3.918177289006964,71
20.0,3.685607507331194,71
19.5,4.1990820378982425,71
20.5,3.4406127817827183,71
19.1,4.431097222570809,71
20.1,3.69246281813044,71
20.3,3.652365458452493,71
20.7,3.4663557083928653,71
20.6,3.44799647947075,71
20.2,3.7586349369173626,71
20.4,3.57602695732018,71
19.9,3.832536234735046,71
19.5,4.418104905331616,76
20.1,3.797860666421905,76
19.1,4.619567042886022,76
20.5,2.66364315356333,76
20.7,3.4597542823414478,76
20.9,3.3423502591414387,76
20.0,4.041268971393925,76
20.6,2.9873693532281247,76
19.3,4.527575785448379,76
20.4,2.177877346426424,76
19.4,4.467645212016512,76
19.2,4.6097332934536,76
20.2,3.202946743352927,76
20.3,2.5805312242005365,76
19.6,4.391431345840225,76
20.8,3.370155005314505,76
19.9,4.100058906696019,76
19.8,4.062145411394123,76
19.7,4.2028872612222745,76
20.0,5.065298620482392,82
20.2,5.018276967894443,82
19.6,4.981629597283963,82
20.7,5.043201660190977,82
19.2,4.827651530935732,82
19.3,4.8181420015324665,82
19.9,5.028175436013685,82
20.1,5.038530161814686,82
20.4,5.0365188783191215,82
20.8,5.021811129318658,82
20.9,5.108568441049214,82
20.3,5.093368509515376,82
19.1,4.755957092037892,82
19.5,4.825400364969541,82
20.5,5.116095646922572,82
20.6,5.159653836311126,82
19.8,5.016745572457379,82
19.4,4.896813973187857,82
19.7,4.964099986146128,82
20.5,1.4204553285375476,84
19.5,0.7780703097806816,84
20.3,1.3194766336900194,84
20.9,1.6538098893996585,84
20.8,1.501519268975183,84
20.2,1.395929744511759,84
20.4,1.3242238434867164,84
20.7,1.7164283737197397,84
20.6,1.71420605752172,84
19.6,1.136620734501903,84
19.7,0.9224870829693308,84
19.9,1.1764399978779423,84
19.8,1.1686056039649486,84
20.0,0.8976489815638273,84
20.1,1.197518913197849,84
19.2,0.3815819396660672,84
19.3,0.3807668641197171,84
19.4,0.3695991465533989,84
19.1,0.3909971621359542,84
20.5,5.562095860069659,89
20.6,5.537155736756981,89
20.7,5.525108646636648,89
20.8,5.563347532520135,89
19.9,5.447894863138906,89
19.2,5.241142983473955,89
20.1,5.532980614299568,89
20.0,5.510507150680116,89
19.1,5.232761109961323,89
20.4,5.564406657859561,89
19.5,5.334869426338555,89
19.6,5.344102253242245,89
19.7,5.365102844123819,89
20.2,5.572005805774612,89
20.9,5.566729507660523,89
20.3,5.5438869620984965,89
19.3,5.29149750049266,89
19.4,5.247166275784649,89
19.8,5.466864140730318,89
20.1,4.113679458139167,90
20.2,4.0964867782565415,90
19.8,3.945004821725004,90
20.5,3.849550632063144,90
20.0,4.050077610248492,90
20.6,3.87460999858426,90
19.9,4.025788427244653,90
20.8,3.902376527412128,90
20.9,3.872473573859612,90
19.7,3.951999544432472,90
20.3,4.0411416964982445,90
20.4,3.942393440425708,90
19.6,3.959088805099216,90
19.5,3.964528299959265,90
20.7,3.918352521953228,90
19.4,3.93365641292481,90
19.1,3.896933309976193,90
19.2,3.9760589675479032,90
19.3,3.972029282918642,90
19.1,3.776414816986974,93
19.5,3.848777489446203,93
20.7,3.748965225434591,93
19.2,3.8188292381792017,93
20.1,3.8322938526048382,93
20.2,3.813204090504424,93
20.8,3.743202332516863,93
20.9,3.716328458658369,93
20.6,3.7581760240934097,93
20.5,3.793049971819084,93
19.6,3.78939427856587,93
19.7,3.821978477780142,93
19.3,3.80288910131333,93
19.4,3.8249992584354975,93
19.8,3.8286972228556193,93
20.0,3.822285354346607,93
