temp,CQ,number
20.6,6,188
20.4,7,188
20.5,9,188
20.1,9,188
20.2,6,188
20.0,5,188
20.3,8,188
20.8,4,188
20.9,5,188
19.4,1,188
19.5,-1,188
19.6,2,188
19.7,3,188
19.8,3,188
19.2,2,188
20.7,5,188
19.3,0,188
19.9,4,188
20.1,132,189
19.8,129,189
19.9,126,189
19.7,129,189
20.0,128,189
20.3,128,189
20.2,129,189
20.8,128,189
20.9,128,189
20.5,127,189
20.4,129,189
20.6,129,189
20.7,129,189
19.6,129,189
19.5,127,189
19.4,128,189
19.3,126,189
19.1,128,189
19.2,128,189
20.7,60,191
20.8,56,191
20.9,54,191
19.1,78,191
19.8,72,191
19.7,72,191
19.6,73,191
19.5,74,191
19.9,72,191
20.0,69,191
20.1,69,191
20.2,66,191
20.6,61,191
20.5,62,191
20.4,64,191
20.3,63,191
19.4,77,191
19.3,74,191
19.2,75,191
20.3,51,192
20.0,47,192
19.9,54,192
20.2,52,192
20.1,51,192
19.6,61,192
19.5,65,192
19.4,65,192
19.3,66,192
19.2,67,192
19.1,66,192
19.8,54,192
19.7,60,192
20.4,52,192
20.7,41,192
20.6,45,192
20.9,41,192
20.8,42,192
20.5,48,192
20.8,70,193
20.9,67,193
20.1,84,193
19.2,82,193
19.1,83,193
19.8,83,193
19.7,78,193
19.6,80,193
19.5,79,193
19.4,80,193
20.2,85,193
20.3,84,193
20.4,81,193
20.5,77,193
20.6,76,193
20.7,73,193
19.9,82,193
20.0,86,193
19.3,82,193
19.1,82,195
19.3,83,195
19.2,84,195
19.5,83,195
19.6,85,195
19.7,86,195
19.4,84,195
19.8,88,195
20.5,91,195
20.4,89,195
20.3,88,195
20.2,88,195
20.9,94,195
20.8,91,195
20.7,91,195
20.6,91,195
20.1,88,195
20.0,87,195
19.9,87,195
20.8,1,196
20.9,0,196
19.5,1,196
19.2,1,196
19.6,0,196
19.7,1,196
19.8,2,196
19.9,2,196
20.0,2,196
20.1,3,196
20.2,3,196
20.3,2,196
20.4,-1,196
20.5,-1,196
20.6,1,196
20.7,4,196
19.1,0,196
19.4,1,196
19.3,0,196
20.7,48,197
20.9,49,197
20.8,51,197
19.5,53,197
19.6,51,197
19.7,47,197
19.8,47,197
19.9,42,197
20.0,43,197
20.1,44,197
20.2,46,197
20.3,46,197
20.4,49,197
20.5,50,197
20.6,52,197
19.1,55,197
19.2,56,197
19.3,57,197
19.4,54,197
19.2,64,198
19.1,63,198
19.4,67,198
19.5,68,198
19.6,70,198
19.3,65,198
19.8,72,198
19.9,76,198
20.0,76,198
20.1,78,198
20.2,79,198
19.7,70,198
20.4,82,198
20.3,79,198
20.6,83,198
20.7,83,198
20.8,86,198
20.9,88,198
20.5,83,198
19.2,118,200
19.7,116,200
