number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
49,COMPLETE,"[1.003068625653513, 1.053427034654589]",2026-01-06T22:59:54.514337,2026-01-06T23:03:53.166907,238.65257,0.48458343768389833,0.061977106082210805,0.005471544317160143,28.162552883539803,0.48458343768389833,0.005471544317160143,0.061977106082210805
50,COMPLETE,"[1.0541542066246936, 1.1395485931625164]",2026-01-06T23:03:53.176915,2026-01-06T23:07:55.413741,242.236826,0.4080198781168899,0.18384352953957944,0.007353446494331021,28.982250690647803,0.4080198781168899,0.007353446494331021,0.18384352953957944
51,COMPLETE,"[1.0239701820017306, 1.0627367151790317]",2026-01-06T23:07:55.423750,2026-01-06T23:11:55.008209,239.584459,0.40748114900380017,0.24939913076293313,0.0018399469117126605,24.227184364893976,0.40748114900380017,0.0018399469117126605,0.24939913076293313
52,COMPLETE,"[1.0639740697275784, 1.46210931710365]",2026-01-06T23:11:55.018219,2026-01-06T23:15:52.195251,237.177032,0.2165246769698393,0.4126921886070105,0.006669470441847818,42.53398511752807,0.2165246769698393,0.006669470441847818,0.4126921886070105
53,COMPLETE,"[1.0115544197170014, 1.2008753875882163]",2026-01-06T23:15:52.204258,2026-01-06T23:19:48.255727,236.051469,0.48458343768389833,0.03515342462158583,0.005471544317160143,28.162552883539803,0.48458343768389833,0.005471544317160143,0.03515342462158583
54,COMPLETE,"[1.0165420898432687, 1.0945335273119268]",2026-01-06T23:19:48.265736,2026-01-06T23:23:42.722367,234.456631,0.21061897633052795,0.311746994629523,0.007353446494331021,31.51595656713642,0.21061897633052795,0.007353446494331021,0.311746994629523
55,COMPLETE,"[1.0070397742825292, 1.1857340709359783]",2026-01-06T23:23:42.732375,2026-01-06T23:27:43.476100,240.743725,0.1528920430463387,0.4126921886070105,0.001804024260260152,42.53398511752807,0.1528920430463387,0.001804024260260152,0.4126921886070105
56,COMPLETE,"[1.0367952634581847, 1.0572525564064033]",2026-01-06T23:27:43.487110,2026-01-06T23:31:40.828355,237.341245,0.3329822531024739,0.3240470161954775,0.007078314115894442,23.572983415792244,0.3329822531024739,0.007078314115894442,0.3240470161954775
57,COMPLETE,"[1.0382786526440657, 1.0641227247529041]",2026-01-06T23:31:40.838364,2026-01-06T23:35:38.996780,238.158416,0.20961294705159284,0.4126921886070105,0.007569588538395056,22.140053477838062,0.20961294705159284,0.007569588538395056,0.4126921886070105
58,COMPLETE,"[1.0534069589802553, 1.085132573910396]",2026-01-06T23:35:39.006788,2026-01-06T23:39:36.257343,237.250555,0.27004859569436773,0.4264371597181579,0.003860512876933809,23.210450149935507,0.27004859569436773,0.003860512876933809,0.4264371597181579
59,COMPLETE,"[0.9148934456260743, 2.283809222230486]",2026-01-06T23:39:36.267352,2026-01-06T23:43:34.566327,238.298975,0.10942189358409271,0.26930140329000724,0.001804024260260152,36.526383166561786,0.10942189358409271,0.001804024260260152,0.26930140329000724
60,COMPLETE,"[1.0080828192253004, 1.0364777255795203]",2026-01-06T23:43:34.577336,2026-01-06T23:47:31.262907,236.685571,0.48458343768389833,0.061977106082210805,0.003345498303901112,28.162552883539803,0.48458343768389833,0.003345498303901112,0.061977106082210805
61,COMPLETE,"[1.062195221877618, 7.749923273343378]",2026-01-06T23:47:31.272916,2026-01-06T23:51:29.525479,238.252563,0.4534324946373229,0.5563119837833669,0.004326460350035415,48.95690418537407,0.4534324946373229,0.004326460350035415,0.5563119837833669
62,COMPLETE,"[1.0651364882235013, 1.1657567362017858]",2026-01-06T23:51:29.535487,2026-01-06T23:55:26.386499,236.851012,0.3777550019369475,0.2317911856656477,0.0016935704454218263,38.656794052483484,0.3777550019369475,0.0016935704454218263,0.2317911856656477
63,COMPLETE,"[1.0103725760681428, 1.4005142330163096]",2026-01-06T23:55:26.396508,2026-01-06T23:59:26.139479,239.742971,0.3089219499949478,0.5074160012354971,0.00204174361464593,38.656794052483484,0.3089219499949478,0.00204174361464593,0.5074160012354971
64,COMPLETE,"[1.105832870871987, 1.164671290156138]",2026-01-06T23:59:26.148486,2026-01-07T00:03:24.611064,238.462578,0.4806565124071959,0.17901416052767247,0.0034483789603654406,34.298845824141296,0.4806565124071959,0.0034483789603654406,0.17901416052767247
65,COMPLETE,"[1.0029163610845895, 1.319371912657692]",2026-01-07T00:03:24.621073,2026-01-07T00:07:23.810496,239.189423,0.24920483185377146,0.3469184375069098,0.005895608856981328,49.363137170703666,0.24920483185377146,0.005895608856981328,0.3469184375069098
66,COMPLETE,"[1.0437306082955344, 2.4883107497038544]",2026-01-07T00:07:23.820504,2026-01-07T00:11:21.171958,237.351454,0.45900016998379173,0.09891948666174892,0.002179543784178334,42.09111845164568,0.45900016998379173,0.002179543784178334,0.09891948666174892
67,COMPLETE,"[1.0606415064450738, 1.1517336737351467]",2026-01-07T00:11:21.181967,2026-01-07T00:15:21.377510,240.195543,0.3511718750660822,0.19453752431979163,0.0010529863089026568,39.85783962645617,0.3511718750660822,0.0010529863089026568,0.19453752431979163
68,COMPLETE,"[1.0469470654939512, 1.765147032539772]",2026-01-07T00:15:21.386517,2026-01-07T00:19:20.430645,239.044128,0.21061897633052795,0.1543116659042973,0.004161968877641082,31.51595656713642,0.21061897633052795,0.004161968877641082,0.1543116659042973
69,COMPLETE,"[0.6643523368396459, 2.234648739384532]",2026-01-07T00:19:20.441655,2026-01-07T00:23:21.295168,240.853513,0.06841371757702902,0.24939913076293313,0.007273285895543788,29.575890369042774,0.06841371757702902,0.007273285895543788,0.24939913076293313
70,COMPLETE,"[0.8890552559563869, 13.603494521111411]",2026-01-07T00:23:21.305170,2026-01-07T00:27:19.469920,238.16475,0.1005663792951208,0.10565278749818008,0.001339544427713031,35.590667621984295,0.1005663792951208,0.001339544427713031,0.10565278749818008
71,COMPLETE,"[0.6019285973395756, 3.9053334299348155]",2026-01-07T00:27:19.479920,2026-01-07T00:31:18.274911,238.794991,0.0630671506827451,0.19469463561991682,0.006320681396227948,44.07783315148832,0.0630671506827451,0.006320681396227948,0.19469463561991682
72,COMPLETE,"[1.0264606548497817, 1.0656417053325025]",2026-01-07T00:31:18.284919,2026-01-07T00:35:14.522876,236.237957,0.21061897633052795,0.2193953088812766,0.006773856972133418,25.394842425758938,0.21061897633052795,0.006773856972133418,0.2193953088812766
73,COMPLETE,"[0.6410828697885069, 1.7257365421562194]",2026-01-07T00:35:14.531883,2026-01-07T00:39:13.870762,239.338879,0.07469255489474097,0.2193953088812766,0.006773856972133418,30.308660845155636,0.07469255489474097,0.006773856972133418,0.2193953088812766
74,COMPLETE,"[1.0568155198905482, 1.1024610923552458]",2026-01-07T00:39:13.879769,2026-01-07T00:43:12.047493,238.167724,0.23213693756522175,0.2169282190258714,0.005052933264849632,35.590667621984295,0.23213693756522175,0.005052933264849632,0.2169282190258714
75,COMPLETE,"[1.0237022829613618, 1.9548322182055111]",2026-01-07T00:43:12.057502,2026-01-07T00:47:11.841351,239.783849,0.26756166616410476,0.5563119837833669,0.006743734267908152,38.579389665253935,0.26756166616410476,0.006743734267908152,0.5563119837833669
76,COMPLETE,"[0.9265319640152708, 1.1539048719161848]",2026-01-07T00:47:11.850358,2026-01-07T00:51:07.726090,235.875732,0.16251661256777306,0.4287934182714353,0.003188254108160212,23.176931949949655,0.16251661256777306,0.003188254108160212,0.4287934182714353
77,COMPLETE,"[1.0646134587798755, 1.1212104082581993]",2026-01-07T00:51:07.736099,2026-01-07T00:55:06.219633,238.483534,0.3329822531024739,0.40797170243008163,0.00682920235473784,25.922107847359342,0.3329822531024739,0.00682920235473784,0.40797170243008163
78,COMPLETE,"[0.8956294668055145, 1.073201834341436]",2026-01-07T00:55:06.229642,2026-01-07T00:59:02.191633,235.961991,0.10410106383815004,0.0572351742965083,0.003188254108160212,36.85712964178306,0.10410106383815004,0.003188254108160212,0.0572351742965083
79,COMPLETE,"[1.0328113124872593, 1.0574054574487386]",2026-01-07T00:59:02.201642,2026-01-07T01:03:01.859157,239.657515,0.3273051977576971,0.37823903026085065,0.001316326209350162,25.511224268691848,0.3273051977576971,0.001316326209350162,0.37823903026085065
80,COMPLETE,"[0.9564725611201794, 2.6980935377902275]",2026-01-07T01:03:01.868165,2026-01-07T01:06:59.604821,237.736656,0.11635734295270883,0.033244519802025536,0.006307195561543245,42.337281738865165,0.11635734295270883,0.006307195561543245,0.033244519802025536
81,COMPLETE,"[1.0546386387659907, 1.9243537243105626]",2026-01-07T01:06:59.614839,2026-01-07T01:10:58.813023,239.198184,0.48458343768389833,0.061977106082210805,0.005471544317160143,41.53919911825961,0.48458343768389833,0.005471544317160143,0.061977106082210805
82,COMPLETE,"[1.0090960900273376, 1.2099091956035108]",2026-01-07T01:10:58.822031,2026-01-07T01:14:55.212297,236.390266,0.16251661256777306,0.39109863402220435,0.0025307360172838293,42.18524400676358,0.16251661256777306,0.0025307360172838293,0.39109863402220435
83,COMPLETE,"[1.1636446855196723, 1.998670394758196]",2026-01-07T01:14:55.221305,2026-01-07T01:18:55.770867,240.549562,0.4092881910461214,0.5446331026459503,0.00550239469714683,33.39919036581141,0.4092881910461214,0.00550239469714683,0.5446331026459503
84,COMPLETE,"[1.1728556771587215, 2.24091173313178]",2026-01-07T01:18:55.780867,2026-01-07T01:22:51.999984,236.219117,0.2935998386234752,0.5693672158341696,0.00204174361464593,38.656794052483484,0.2935998386234752,0.00204174361464593,0.5693672158341696
85,COMPLETE,"[0.6692444339661946, 1.7667536445796295]",2026-01-07T01:22:52.009994,2026-01-07T01:26:51.157134,239.14714,0.07098216803565782,0.16672974183346068,0.007079192924598151,29.916536550263515,0.07098216803565782,0.007079192924598151,0.16672974183346068
86,COMPLETE,"[1.0423103219948209, 2.122790350540305]",2026-01-07T01:26:51.167144,2026-01-07T01:30:48.235725,237.068581,0.3329822531024739,0.09891948666174892,0.0024576086595761775,33.465208040153016,0.3329822531024739,0.0024576086595761775,0.09891948666174892
87,COMPLETE,"[1.0240092006649582, 1.4250439775459782]",2026-01-07T01:30:48.245734,2026-01-07T01:34:46.278960,238.033226,0.2165246769698393,0.44501207582338,0.0054774586070583395,42.84333913352231,0.2165246769698393,0.0054774586070583395,0.44501207582338
88,COMPLETE,"[1.0328477833954777, 1.0667557087359532]",2026-01-07T01:34:46.288967,2026-01-07T01:38:41.374308,235.085341,0.3273051977576971,0.37823903026085065,0.00495033904454228,25.511224268691848,0.3273051977576971,0.00495033904454228,0.37823903026085065
89,COMPLETE,"[0.887412072150999, 1.131901782569888]",2026-01-07T01:38:41.384316,2026-01-07T01:42:41.812842,240.428526,0.11192114564157768,0.49782181510629453,0.007529519817834493,32.04583497455442,0.11192114564157768,0.007529519817834493,0.49782181510629453
90,COMPLETE,"[1.0215226037884273, 1.0431006754369843]",2026-01-07T01:42:41.822851,2026-01-07T01:46:37.581754,235.758903,0.4780049777088391,0.2775083125492014,0.001804024260260152,23.55122973149387,0.4780049777088391,0.001804024260260152,0.2775083125492014
91,COMPLETE,"[1.1583966879439778, 2.29036530952939]",2026-01-07T01:46:37.591762,2026-01-07T01:50:36.584435,238.992673,0.3511718750660822,0.30653954056730276,0.0010529863089026568,47.437179977596514,0.3511718750660822,0.0010529863089026568,0.30653954056730276
92,COMPLETE,"[1.0057702390476286, 1.225603222539508]",2026-01-07T01:50:36.594444,2026-01-07T01:54:32.567046,235.972602,0.42923238714883494,0.19917596108027505,0.006436660511528019,46.37984822210684,0.42923238714883494,0.006436660511528019,0.19917596108027505
93,COMPLETE,"[1.0575424016125836, 1.103039659940449]",2026-01-07T01:54:32.577055,2026-01-07T01:58:32.031250,239.454195,0.3350879183063552,0.20290871176587968,0.006800338973526369,31.185035627100383,0.3350879183063552,0.006800338973526369,0.20290871176587968
94,COMPLETE,"[1.016760580547891, 1.1708469489062459]",2026-01-07T01:58:32.041259,2026-01-07T02:02:29.508343,237.467084,0.19086534407089256,0.36579719889749723,0.005895608856981328,40.017200601313625,0.19086534407089256,0.005895608856981328,0.36579719889749723
95,COMPLETE,"[1.114740353540463, 1.2894124283837627]",2026-01-07T02:02:29.518352,2026-01-07T02:06:28.392293,238.873941,0.3089219499949478,0.36579719889749723,0.003188254108160212,38.67541655117309,0.3089219499949478,0.003188254108160212,0.36579719889749723
96,COMPLETE,"[1.0454700304253626, 1.317485820444078]",2026-01-07T02:06:28.402301,2026-01-07T02:10:25.382363,236.980062,0.2165246769698393,0.3469184375069098,0.0054774586070583395,42.84333913352231,0.2165246769698393,0.0054774586070583395,0.3469184375069098
97,COMPLETE,"[1.0155566338175557, 2.269519661850973]",2026-01-07T02:10:25.392371,2026-01-07T02:14:22.732560,237.340189,0.40748114900380017,0.2850972055895389,0.002027759194371483,49.96753990137864,0.40748114900380017,0.002027759194371483,0.2850972055895389
98,COMPLETE,"[1.1006353906436737, 1.5859864560966461]",2026-01-07T02:14:22.741568,2026-01-07T02:18:18.801116,236.059548,0.3350879183063552,0.26380545596400873,0.0025663278287144315,44.28780667976978,0.3350879183063552,0.0025663278287144315,0.26380545596400873
99,COMPLETE,"[1.057680949122168, 1.2137548224043484]",2026-01-07T02:18:18.811124,2026-01-07T02:22:19.546175,240.735051,0.3329822531024739,0.48550112701362824,0.0024576086595761775,25.922107847359342,0.3329822531024739,0.0024576086595761775,0.48550112701362824
100,COMPLETE,"[0.5893217401652249, 4.737502797600085]",2026-01-07T02:22:19.556184,2026-01-07T02:26:16.730110,237.173926,0.06841371757702902,0.24939913076293313,0.007273285895543788,43.30530311398706,0.06841371757702902,0.007273285895543788,0.24939913076293313
101,COMPLETE,"[1.0239701820017306, 1.0627367151790317]",2026-01-07T02:26:16.740118,2026-01-07T02:30:17.004982,240.264864,0.40748114900380017,0.24939913076293313,0.0018399469117126605,24.227184364893976,0.40748114900380017,0.0018399469117126605,0.24939913076293313
102,COMPLETE,"[1.0132049945695263, 1.9483810356268876]",2026-01-07T02:30:17.014982,2026-01-07T02:34:11.352958,234.337976,0.3221797939741202,0.033244519802025536,0.006307195561543245,48.98397201427164,0.3221797939741202,0.006307195561543245,0.033244519802025536
103,COMPLETE,"[1.0658621773157195, 1.103118825851993]",2026-01-07T02:34:11.361966,2026-01-07T02:38:09.444522,238.082556,0.3089219499949478,0.26930140329000724,0.001804024260260152,36.526383166561786,0.3089219499949478,0.001804024260260152,0.26930140329000724
104,COMPLETE,"[0.9148934456260743, 2.283809222230486]",2026-01-07T02:38:09.454531,2026-01-07T02:42:06.176983,236.722452,0.10942189358409271,0.26930140329000724,0.001804024260260152,36.526383166561786,0.10942189358409271,0.001804024260260152,0.26930140329000724
105,COMPLETE,"[1.0309434030090947, 1.1177247236043306]",2026-01-07T02:42:06.186991,2026-01-07T02:46:04.949569,238.762578,0.3089219499949478,0.5413448829486509,0.005933316424637378,22.140053477838062,0.3089219499949478,0.005933316424637378,0.5413448829486509
106,COMPLETE,"[1.0645806800166986, 1.1524730408090136]",2026-01-07T02:46:04.960579,2026-01-07T02:50:01.306555,236.345976,0.24920483185377146,0.19469463561991682,0.005895608856981328,49.363137170703666,0.24920483185377146,0.005895608856981328,0.19469463561991682
