number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
143,"[0.9965941033550821, 8.461060035494665]",0.4202417827241138,0.2775083125492014,0.0072732858955437,46.87979653053761,0.4202417827241138,0.0072732858955437,0.2775083125492014
107,"[1.0534807843035578, 1.0858813986672318]",0.4459601194508945,0.3910986340222043,0.0026975905376818,23.210450149935507,0.4459601194508945,0.0026975905376818,0.3910986340222043
258,"[0.9969835756030332, 1.480771424063722]",0.3208522524163024,0.087504192838699,0.0075521605035537,27.27676956041128,0.3208522524163024,0.0075521605035537,0.087504192838699
126,"[1.043573641907589, 1.6500519550260977]",0.2516206378745789,0.5693672158341696,0.0026975905376818,41.1659616487661,0.2516206378745789,0.0026975905376818,0.5693672158341696
254,"[1.0140085217720414, 1.0768152051831588]",0.2079882029247759,0.1163841636614122,0.0046123759096108,30.30866084515564,0.2079882029247759,0.0046123759096108,0.1163841636614122
44,"[1.0568155198905482, 1.1024610923552458]",0.2321369375652217,0.2169282190258714,0.0050529332648496,35.590667621984295,0.2321369375652217,0.0050529332648496,0.2169282190258714
88,"[1.0328477833954777, 1.0667557087359532]",0.3273051977576971,0.3782390302608506,0.0049503390445422,25.511224268691848,0.3273051977576971,0.0049503390445422,0.3782390302608506
47,"[1.0557449683260545, 1.6247763937090578]",0.2492048318537714,0.1695796424156748,0.0058956088569813,49.36313717070367,0.2492048318537714,0.0058956088569813,0.1695796424156748
177,"[0.7888134038354494, 1.2075247987320517]",0.068413717577029,0.0572351742965083,0.0031882541081602,36.85712964178306,0.068413717577029,0.0031882541081602,0.0572351742965083
243,"[0.7598964662394089, 1.1863579450716466]",0.068413717577029,0.0619771060822108,0.0031882541081602,36.43230893761258,0.068413717577029,0.0031882541081602,0.0619771060822108
183,"[1.0289897769224268, 2.3108644803106198]",0.4845834376838983,0.0619771060822108,0.0072939984397777,44.387926415587344,0.4845834376838983,0.0072939984397777,0.0619771060822108
256,"[0.5829661165922585, 6.01003057383678]",0.068413717577029,0.4264371597181579,0.0063206813962279,43.196112604581096,0.068413717577029,0.0063206813962279,0.4264371597181579
172,"[0.8513894072253917, 4.125763502941167]",0.011969805396677,0.4287934182714353,0.0079891114485186,42.72521991732828,0.011969805396677,0.0079891114485186,0.4287934182714353
50,"[1.0541542066246936, 1.1395485931625164]",0.4080198781168899,0.1838435295395794,0.007353446494331,28.982250690647803,0.4080198781168899,0.007353446494331,0.1838435295395794
275,"[0.8478967599596676, 2.0701858730657228]",0.0746925548947409,0.0351534246215858,0.0067738569721334,30.30866084515564,0.0746925548947409,0.0067738569721334,0.0351534246215858
186,"[1.0317139793892856, 1.0862418612946316]",0.2327398914529399,0.2554548693549671,0.0075295198178344,32.04583497455442,0.2327398914529399,0.0075295198178344,0.2554548693549671
179,"[1.0375242406901686, 1.2955727976227418]",0.3493038382236936,0.4978218151062945,0.0020655493623597,28.162552883539803,0.3493038382236936,0.0020655493623597,0.4978218151062945
241,"[0.5958473144547828, 8.296894593958926]",0.0630671506827451,0.2493991307629331,0.0027569214634286,46.66476873042453,0.0630671506827451,0.0027569214634286,0.2493991307629331
56,"[1.0367952634581847, 1.0572525564064033]",0.3329822531024739,0.3240470161954775,0.0070783141158944,23.572983415792244,0.3329822531024739,0.0070783141158944,0.3240470161954775
147,"[1.0082018534931085, 1.1514840182403283]",0.1528920430463387,0.1946946356199168,0.0063206813962279,42.53398511752807,0.1528920430463387,0.0063206813962279,0.1946946356199168
236,"[0.814539731242036, 1.589919034539815]",0.0526885560406919,0.4981479061863131,0.0018040242602601,32.48931263780153,0.0526885560406919,0.0018040242602601,0.4981479061863131
284,"[0.6114324235001014, 2.8608334596270777]",0.068413717577029,0.5924865844452584,0.0026975905376818,40.29590871187694,0.068413717577029,0.0026975905376818,0.5924865844452584
35,"[1.029418185987962, 1.0916466338194537]",0.4074811490038001,0.3065395405673027,0.0020277591943714,24.227184364893976,0.4074811490038001,0.0020277591943714,0.3065395405673027
118,"[1.0513234665266553, 1.1898013890447396]",0.4780049777088391,0.521197887406765,0.006477057710019,23.55122973149387,0.4780049777088391,0.006477057710019,0.521197887406765
280,"[0.6885250698395333, 2.8695777716036313]",0.0630671506827451,0.0541902089883983,0.0019047611015526,40.104710495647865,0.0630671506827451,0.0019047611015526,0.0541902089883983
273,"[0.8383727489406225, 0.8464553841112378]",0.068413717577029,0.0619771060822108,0.0029659136309842,20.837436707000837,0.068413717577029,0.0029659136309842,0.0619771060822108
23,"[1.0400816552978351, 1.149187423698911]",0.4780049777088391,0.4451830468796734,0.0013944332665959,23.55122973149387,0.4780049777088391,0.0013944332665959,0.4451830468796734
228,"[1.0273120572765657, 2.078343104180142]",0.3375573532614937,0.3767639742765784,0.004161968877641,42.90462645267027,0.3375573532614937,0.004161968877641,0.3767639742765784
165,"[1.037625681024237, 1.0829465387674386]",0.4780049777088391,0.2193953088812766,0.0067738569721334,23.55122973149387,0.4780049777088391,0.0067738569721334,0.2193953088812766
131,"[0.888539916068499, 1.1873938359025367]",0.1119211456415776,0.4978218151062945,0.0063206813962279,32.04583497455442,0.1119211456415776,0.0063206813962279,0.4978218151062945
278,"[0.8284939808004096, 0.9346682098785455]",0.0746925548947409,0.0571732816334082,0.0021227806993416,31.515125591301857,0.0746925548947409,0.0021227806993416,0.0571732816334082
77,"[1.0646134587798755, 1.1212104082581993]",0.3329822531024739,0.4079717024300816,0.0068292023547378,25.922107847359342,0.3329822531024739,0.0068292023547378,0.4079717024300816
187,"[0.7618801050850905, 1.6846415185605923]",0.1104014751184081,0.4978218151062945,0.0068292023547378,28.114521118543596,0.1104014751184081,0.0068292023547378,0.4978218151062945
27,"[0.9200229188172608, 1.9388389140287094]",0.0983365273828058,0.1543116659042973,0.004161968877641,42.337281738865165,0.0983365273828058,0.004161968877641,0.1543116659042973
12,"[1.0739432533084345, 1.2447020652388554]",0.4080198781168899,0.1838435295395794,0.007353446494331,41.449922735492336,0.4080198781168899,0.007353446494331,0.1838435295395794
124,"[0.8892836521877272, 1.8307641614693928]",0.1094218935840927,0.0549311183760921,0.0048946829666078,36.526383166561786,0.1094218935840927,0.0048946829666078,0.0549311183760921
204,"[0.9440407162743971, 1.3119341386518522]",0.16007784481646,0.2775083125492014,0.0063206813962279,28.114521118543596,0.16007784481646,0.0063206813962279,0.2775083125492014
6,"[1.033184507895588, 1.0732606231273587]",0.3273051977576971,0.3782390302608506,0.0078914219480203,25.511224268691848,0.3273051977576971,0.0078914219480203,0.3782390302608506
62,"[1.0651364882235013, 1.1657567362017858]",0.3777550019369475,0.2317911856656477,0.0016935704454218,38.65679405248349,0.3777550019369475,0.0016935704454218,0.2317911856656477
168,"[1.0069368781732941, 1.0470702613230092]",0.4750351554456896,0.0619771060822108,0.0033454983039011,28.162552883539803,0.4750351554456896,0.0033454983039011,0.0619771060822108
276,"[0.7671514370793555, 1.3436895551190398]",0.068413717577029,0.0351534246215858,0.0018040242602601,35.187366943349645,0.068413717577029,0.0018040242602601,0.0351534246215858
240,"[1.0241171355793472, 1.2783285369052824]",0.2867659099541929,0.3910986340222043,0.0063206813962279,43.196112604581096,0.2867659099541929,0.0063206813962279,0.3910986340222043
