number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
108,"[0.5919497985762056, 1.1151082655172273]",0.138113559,0.258741778,0.007710047,5,20.02201099,0.73196788,33.31109848,0.504276988,35.4886373,0.114120479,18.5738721,0.387199344,25.47189544,0.432511158,,,,,"[20.022010988633276, 33.31109848129806, 35.48863730493329, 18.573872102338026, 25.471895444054876]",0.138113559,0.007710047,5,0.258741778,"[0.3373005971824326, 0.23237758631995997, 0.05258824439172645, 0.17842664099225078, 0.19930693111363013]"
110,"[0.7435329094540782, 1.265439715271622]",0.097634765,0.492241057,0.003480367,6,23.59453468,0.690172456,33.7739004,0.329740637,33.27225365,0.518398979,38.15669155,0.352934535,38.21675132,0.504901952,17.3722476,0.210313299,,,"[23.594534676339396, 33.77390039620012, 33.27225364820469, 38.15669154982916, 38.2167513199508, 17.372247604600968]",0.097634765,0.003480367,6,0.492241057,"[0.2647928470360276, 0.12650890564913844, 0.1988899155425803, 0.13540751946169025, 0.19371162122803212, 0.08068919108253123]"
112,"[0.8407429150603055, 0.8950566508139072]",0.052685684,0.271970015,0.002959721,6,21.07307825,0.428835961,37.65371215,0.196217267,27.97184978,0.430129159,36.02226571,0.847341787,23.97965102,0.82799419,22.89629823,0.84291978,,,"[21.073078251259084, 37.65371214887268, 27.97184977616906, 36.022265707221266, 23.979651024059635, 22.896298230596898]",0.052685684,0.002959721,6,0.271970015,"[0.1200065437128304, 0.05490993814578209, 0.12036843547329282, 0.23712227642972847, 0.23170799568069056, 0.23588481055767568]"
117,"[0.8503577836517474, 0.8569283720874835]",0.063400363,0.328621137,0.003950256,6,18.75189321,0.519724644,33.66752012,0.79363102,28.70168095,0.857147532,35.41864924,0.773020349,24.0196806,0.477876246,31.91963095,0.952436067,,,"[18.75189320620461, 33.667520119064775, 28.701680945485464, 35.418649238332904, 24.01968059593719, 31.919630946907684]",0.063400363,0.003950256,6,0.328621137,"[0.11882582272040783, 0.18144965790282833, 0.19597158173927315, 0.17673739349878229, 0.10925792858987715, 0.2177576155488313]"
120,"[0.6164739162764612, 1.5674193385270492]",0.135831068,0.19153574,0.004824755,4,30.96031104,0.73196788,34.91316431,0.359199125,18.5034655,0.918979659,22.88732252,0.207188866,,,,,,,"[30.96031103745054, 34.91316430667953, 18.503465498900194, 22.887322518972404]",0.135831068,0.004824755,4,0.19153574,"[0.3301114647457189, 0.16199583706325277, 0.4144522318257552, 0.09344046636527317]"
121,"[0.6034372872831975, 0.9728701160870394]",0.135831068,0.590923124,0.004930962,4,20.77308379,0.966443706,24.95271575,0.765453912,31.81295463,0.851230051,18.58292968,0.23352397,,,,,,,"[20.773083794771086, 24.952715754119584, 31.81295462763944, 18.58292967884653]",0.135831068,0.004930962,4,0.590923124,"[0.34311793916670513, 0.2717602352311296, 0.3022134649308779, 0.0829083606712873]"
124,"[0.9851521885005338, 1.0538037106696427]",0.185635866,0.151309064,0.006610576,3,18.75189321,0.818547352,16.26160947,0.058782797,30.39138209,0.642614223,,,,,,,,,"[18.75189320620461, 16.261609474593964, 30.39138208732655]",0.185635866,0.006610576,3,0.151309064,"[0.5385377038321206, 0.03867430794347928, 0.4227879882244001]"
125,"[0.99559494216293, 1.1893543900464043]",0.204672614,0.402765729,0.007496929,4,20.77308379,0.68356569,33.7739004,0.765453912,26.97131783,0.516367307,29.62491422,0.871238087,,,,,,,"[20.773083794771086, 33.77390039620012, 26.971317827355197, 29.62491422262221]",0.204672614,0.007496929,4,0.402765729,"[0.24097851893350994, 0.2698467061291783, 0.18203580224126067, 0.30713897269605106]"
128,"[0.839870399160351, 0.9697787300108244]",0.097634765,0.151309064,0.004029531,3,36.26982693,0.818547352,33.43618841,0.79363102,17.45070625,0.945811383,,,,,,,,,"[36.26982692757764, 33.436188408117104, 17.45070625066848]",0.097634765,0.004029531,3,0.151309064,"[0.3199963370179526, 0.3102557462438661, 0.3697479167381813]"
135,"[0.8894479690877547, 0.9086684460845252]",0.089171038,0.075288313,0.006352007,2,26.46022575,0.782733998,33.42444064,0.215851239,,,,,,,,,,,"[26.46022574720999, 33.424440635200455]",0.089171038,0.006352007,2,0.075288313,"[0.7838429495781418, 0.21615705042185823]"
